"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","stop","rt_z","ssd_z"
2,1,126.2,"Right",1,1,0,250,"Right","NoStop",0,-0.816702633643475,0.435759309670453
2,2,142.7,"Left",1,1,0,250,"Left","NoStop",0,-0.765716031422249,0.435759309670453
2,3,135.5,"Right",1,1,0,250,"Right","NoStop",0,-0.787964730573329,0.435759309670453
2,4,106.9,"Right",1,0,1,250,"NoGo","Stop",1,-0.876341507756789,0.435759309670453
2,5,158.6,"Right",1,1,0,200,"Right","NoStop",0,-0.716583487463612,0.122920968637714
2,6,238.2,"Left",1,1,0,200,"Left","NoStop",0,-0.470611757959997,0.122920968637714
2,7,146.2,"Right",1,1,0,200,"Right","NoStop",0,-0.75490069155714,0.122920968637714
2,8,187.3,"Left",1,1,0,200,"Left","NoStop",0,-0.627897700569721,0.122920968637714
2,9,192.6,"Right",1,1,0,200,"Right","NoStop",0,-0.611520185916842,0.122920968637714
2,10,221.4,"Right",1,0,1,200,"NoGo","Stop",1,-0.522525389312519,0.122920968637714
2,11,208.3,"Right",1,1,0,150,"Right","NoStop",0,-0.563005661379069,-0.189917372395026
2,12,234.4,"Right",1,0,1,150,"NoGo","Stop",1,-0.482354126956401,-0.189917372395026
2,13,1053.6,"Right",1,0,1,100,"NoGo","Stop",1,2.04905342089989,-0.502755713427766
2,14,306.4,"Left",1,1,0,50,"Left","NoStop",0,-0.259867135445594,-0.815594054460505
2,15,395.5,"Right",1,1,0,50,"Right","NoStop",0,0.0154605165490298,-0.815594054460505
2,16,1449.868,"NoGo",NA,1,0,50,"NoGo","Stop",1,3.27356002023329,-0.815594054460505
2,17,336.4,"Right",1,1,0,100,"Right","NoStop",0,-0.167164222316091,-0.502755713427766
2,18,263.6,"Right",1,1,0,100,"Right","NoStop",0,-0.392123291510351,-0.502755713427766
2,19,400.1,"Left",1,1,0,100,"Left","NoStop",0,0.029674963228887,-0.502755713427766
2,20,363.8,"Left",1,1,0,100,"Left","NoStop",0,-0.0824955616578116,-0.502755713427766
2,21,319.4,"Left",1,1,0,100,"Left","NoStop",0,-0.219695873089476,-0.502755713427766
2,22,279.6,"Right",1,1,0,100,"Right","NoStop",0,-0.342681737841283,-0.502755713427766
2,23,357.2,"Right",1,1,0,100,"Right","NoStop",0,-0.102890202546302,-0.502755713427766
2,24,1399.86,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.11903044424062,-0.502755713427766
2,25,247,"Right",1,0,1,150,"NoGo","Stop",1,-0.44341890344201,-0.189917372395026
2,26,297.1,"Left",1,1,0,100,"Left","NoStop",0,-0.28860503851574,-0.502755713427766
2,27,312.2,"Left",1,1,0,100,"Left","NoStop",0,-0.241944572240557,-0.502755713427766
2,28,316.5,"Left",1,0,1,100,"NoGo","Stop",1,-0.228657154691995,-0.502755713427766
2,29,399.1,"Right",1,1,0,50,"Right","NoStop",0,0.0265848661245703,-0.815594054460505
2,30,519.5,"Right",1,1,0,50,"Right","NoStop",0,0.398632557484309,-0.815594054460505
2,31,1449.95,"NoGo",NA,1,0,50,"NoGo","Stop",1,3.27381340819584,-0.815594054460505
2,32,1399.901,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.11915713822189,-0.502755713427766
2,33,369.3,"Left",1,1,0,150,"Left","NoStop",0,-0.0655000275840694,-0.189917372395026
2,34,1349.854,"NoGo",NA,1,0,150,"NoGo","Stop",1,2.96450704844215,-0.189917372395026
2,35,1299.808,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.80986004875952,0.122920968637714
2,36,250.8,"Right",1,1,0,250,"Right","NoStop",0,-0.431676534445606,0.435759309670453
2,37,201.5,"Left",1,1,0,250,"Left","NoStop",0,-0.584018321688423,0.435759309670453
2,38,256.3,"Right",1,1,0,250,"Right","NoStop",0,-0.414681000371864,0.435759309670453
2,39,172.3,"Left",1,1,0,250,"Left","NoStop",0,-0.674249157134472,0.435759309670453
2,40,189.4,"Left",1,1,0,250,"Left","NoStop",0,-0.621408496650656,0.435759309670453
2,41,250.4,"Right",1,1,0,250,"Right","NoStop",0,-0.432912573287333,0.435759309670453
2,42,204.2,"Right",1,1,0,250,"Right","NoStop",0,-0.575675059506767,0.435759309670453
2,43,225.4,"Left",1,0,1,250,"NoGo","Stop",1,-0.510165000895252,0.435759309670453
2,44,471.8,"Right",1,1,0,200,"Right","NoStop",0,0.251234925608399,0.122920968637714
2,45,1299.944,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.8102803019657,0.122920968637714
2,46,190,"Right",1,1,0,250,"Right","NoStop",0,-0.619554438388066,0.435759309670453
2,47,199.7,"Right",1,1,0,250,"Right","NoStop",0,-0.589580496476193,0.435759309670453
2,48,143.5,"Right",1,0,1,250,"NoGo","Stop",1,-0.763243953738795,0.435759309670453
2,49,352,"Right",1,1,0,200,"Right","NoStop",0,-0.118958707488749,0.122920968637714
2,50,311.8,"Right",1,1,0,200,"Right","NoStop",0,-0.243180611082283,0.122920968637714
2,51,419.6,"Left",1,1,0,200,"Left","NoStop",0,0.089931856763064,0.122920968637714
2,52,1299.865,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.81003618429446,0.122920968637714
2,53,201.1,"Right",1,1,0,250,"Right","NoStop",0,-0.585254360530149,0.435759309670453
2,54,211.2,"Left",1,1,0,250,"Left","NoStop",0,-0.55404437977655,0.435759309670453
2,55,284.4,"Right",1,1,0,250,"Right","NoStop",0,-0.327849271740563,0.435759309670453
2,56,221.6,"Left",1,1,0,250,"Left","NoStop",0,-0.521907369891656,0.435759309670453
2,57,186.3,"Left",1,0,1,250,"NoGo","Stop",1,-0.630987797674038,0.435759309670453
2,58,299.6,"Right",1,1,0,200,"Right","NoStop",0,-0.280879795754948,0.122920968637714
2,59,329.4,"Right",1,1,0,200,"Right","NoStop",0,-0.188794902046308,0.122920968637714
2,60,418.6,"Left",1,1,0,200,"Left","NoStop",0,0.0868417596587472,0.122920968637714
2,61,1299.905,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.81015978817863,0.122920968637714
2,62,139.8,"Left",1,0,1,250,"NoGo","Stop",1,-0.774677313024767,0.435759309670453
2,63,471.5,"Right",1,1,0,200,"Right","NoStop",0,0.250307896477104,0.122920968637714
2,64,467.2,"Right",1,1,0,200,"Right","NoStop",0,0.237020478928542,0.122920968637714
2,65,359,"Left",1,1,0,200,"Left","NoStop",0,-0.0973280277585321,0.122920968637714
2,66,363.7,"Left",1,1,0,200,"Left","NoStop",0,-0.0828045713682433,0.122920968637714
2,67,236.6,"Left",1,1,0,200,"Left","NoStop",0,-0.475555913326904,0.122920968637714
2,68,416.5,"Right",1,1,0,200,"Right","NoStop",0,0.0803525557396819,0.122920968637714
2,69,1300.124,"NoGo",NA,1,0,200,"NoGo","Stop",1,2.81083651944448,0.122920968637714
2,70,209.1,"Right",1,1,0,250,"Right","NoStop",0,-0.560533583695615,0.435759309670453
2,71,1249.913,"NoGo",NA,1,0,250,"NoGo","Stop",1,2.65567965373963,0.435759309670453
2,72,208.1,"Left",1,1,0,300,"Left","NoStop",0,-0.563623680799932,0.748597650703193
2,73,316.1,"Left",1,1,0,300,"Left","NoStop",0,-0.229893193533721,0.748597650703193
2,74,173.2,"Right",1,1,0,300,"Right","NoStop",0,-0.671468069740587,0.748597650703193
2,75,242.7,"Left",1,1,0,300,"Left","NoStop",0,-0.456706320990572,0.748597650703193
2,76,229.6,"Right",1,1,0,300,"Right","NoStop",0,-0.497186593057122,0.748597650703193
2,77,189.1,"Left",1,1,0,300,"Left","NoStop",0,-0.622335525781951,0.748597650703193
2,78,534.7,"Left",1,1,0,300,"Left","NoStop",0,0.445602033469924,0.748597650703193
2,79,227.7,"Left",1,0,1,300,"NoGo","Stop",1,-0.503057777555323,0.748597650703193
2,80,327.9,"Left",1,1,0,250,"Left","NoStop",0,-0.193430047702784,0.435759309670453
2,81,227.1,"Left",1,1,0,250,"Left","NoStop",0,-0.504911835817914,0.435759309670453
2,82,436,"Right",1,1,0,250,"Right","NoStop",0,0.140609449273859,0.435759309670453
2,83,258.2,"Right",1,1,0,250,"Right","NoStop",0,-0.408809815873662,0.435759309670453
2,84,265.7,"Left",1,1,0,250,"Left","NoStop",0,-0.385634087591286,0.435759309670453
2,85,293.2,"Right",1,1,0,250,"Right","NoStop",0,-0.300656417222575,0.435759309670453
2,86,201.5,"Right",1,1,0,250,"Right","NoStop",0,-0.584018321688423,0.435759309670453
2,87,111.8,"Right",1,1,0,250,"Right","NoStop",0,-0.861200031945637,0.435759309670453
2,88,1249.919,"NoGo",NA,1,0,250,"NoGo","Stop",1,2.65569819432226,0.435759309670453
2,89,117.3,"Right",1,1,0,300,"Right","NoStop",0,-0.844204497871894,0.748597650703193
2,90,248,"Left",1,1,0,300,"Left","NoStop",0,-0.440328806337693,0.748597650703193
2,91,180.1,"Left",1,1,0,300,"Left","NoStop",0,-0.650146399720802,0.748597650703193
2,92,1199.824,"NoGo",NA,1,0,300,"NoGo","Stop",1,2.50089977988151,0.748597650703193
2,93,87.40000001,"Right",1,0,1,350,"NoGo","Stop",1,-0.936598401260065,1.06143599173593
2,94,350.2,"Right",1,1,0,300,"Right","NoStop",0,-0.12452088227652,0.748597650703193
2,95,269.1,"Left",1,1,0,300,"Left","NoStop",0,-0.375127757436609,0.748597650703193
2,96,222.4,"Left",1,1,0,300,"Left","NoStop",0,-0.519435292208202,0.748597650703193
2,97,194.1,"Right",1,1,0,300,"Right","NoStop",0,-0.606885040260367,0.748597650703193
2,98,209.7,"Left",1,1,0,300,"Left","NoStop",0,-0.558679525433025,0.748597650703193
2,99,332.3,"Left",1,1,0,300,"Left","NoStop",0,-0.17983362044379,0.748597650703193
2,100,104.3,"Right",1,1,0,300,"Right","NoStop",0,-0.884375760228012,0.748597650703193
2,101,119.9,"Right",1,1,0,300,"Right","NoStop",0,-0.836170245400671,0.748597650703193
2,102,157.7,"Right",1,1,0,300,"Right","NoStop",0,-0.719364574857497,0.748597650703193
2,103,1199.883,"NoGo",NA,1,0,300,"NoGo","Stop",1,2.50108209561066,0.748597650703193
2,104,39.80000001,"Right",1,0,1,350,"NoGo","Stop",1,-1.08368702342554,1.06143599173593
2,105,139.6,"Right",1,1,0,300,"Right","NoStop",0,-0.775295332445631,0.748597650703193
2,106,127.1,"Right",1,0,1,300,"NoGo","Stop",1,-0.81392154624959,0.748597650703193
2,107,217,"Left",1,1,0,250,"Left","NoStop",0,-0.536121816571513,0.435759309670453
2,108,229.2,"Right",1,1,0,250,"Right","NoStop",0,-0.498422631898848,0.435759309670453
2,109,1249.831,"NoGo",NA,1,0,250,"NoGo","Stop",1,2.65542626577708,0.435759309670453
2,110,127.8,"Left",1,1,0,300,"Left","NoStop",0,-0.811758478276568,0.748597650703193
2,111,199.6,"Left",1,1,0,300,"Left","NoStop",0,-0.589889506186625,0.748597650703193
2,112,184.6,"Right",1,1,0,300,"Right","NoStop",0,-0.636240962751376,0.748597650703193
2,113,219.7,"Right",1,1,0,300,"Right","NoStop",0,-0.527778554389858,0.748597650703193
2,114,146.7,"Right",1,1,0,300,"Right","NoStop",0,-0.753355643004981,0.748597650703193
2,115,273.5,"Left",1,1,0,300,"Left","NoStop",0,-0.361531330177616,0.748597650703193
