"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","stop","rt_z","ssd_z"
2,"1",126.2,"Right",1,1,0,250,"Right","NoStop",0,-0.879036996974553,0.704896806108174
2,"2",142.7,"Left",1,1,0,250,"Left","NoStop",0,-0.826191829485117,0.704896806108174
2,"3",135.5,"Right",1,1,0,250,"Right","NoStop",0,-0.849251538935052,0.704896806108174
2,"4",106.9,"Right",1,0,1,250,"NoGo","Stop",1,-0.940849829250074,0.704896806108174
2,"5",158.6,"Right",1,1,0,200,"Right","NoStop",0,-0.775268304449842,0.265936677758507
2,"6",238.2,"Left",1,1,0,200,"Left","NoStop",0,-0.52033040553111,0.265936677758507
2,"7",146.2,"Right",1,1,0,200,"Right","NoStop",0,-0.814982248502509,0.265936677758507
2,"8",187.3,"Left",1,1,0,200,"Left","NoStop",0,-0.68334974039246,0.265936677758507
2,"9",192.6,"Right",1,1,0,200,"Right","NoStop",0,-0.666375232047368,0.265936677758507
2,"10",221.4,"Right",1,0,1,200,"NoGo","Stop",1,-0.574136394247626,0.265936677758507
2,"11",208.3,"Right",1,1,0,150,"Right","NoStop",0,-0.616092254496814,-0.173023450591161
2,"12",234.4,"Right",1,0,1,150,"NoGo","Stop",1,-0.532500807740798,-0.173023450591161
2,"13",1053.6,"Right",1,0,1,100,"NoGo","Stop",1,2.0911816896741,-0.611983578940828
2,"14",306.4,"Left",1,1,0,50,"Left","NoStop",0,-0.301903713241442,-1.05094370729049
2,"15",395.5,"Right",1,1,0,50,"Right","NoStop",0,-0.0165398087984884,-1.05094370729049
2,"16",1449.868,"NoGo",NA,1,0,50,"NoGo","Stop",1,3.36032404305008,-1.05094370729049
2,"17",336.4,"Right",1,1,0,100,"Right","NoStop",0,-0.205821590533377,-0.611983578940828
2,"18",263.6,"Right",1,1,0,100,"Right","NoStop",0,-0.438980874971614,-0.611983578940828
2,"19",400.1,"Left",1,1,0,100,"Left","NoStop",0,-0.00180721664991833,-0.611983578940828
2,"20",363.8,"Left",1,1,0,100,"Left","NoStop",0,-0.118066585126677,-0.611983578940828
2,"21",319.4,"Left",1,1,0,100,"Left","NoStop",0,-0.260268126734614,-0.611983578940828
2,"22",279.6,"Right",1,1,0,100,"Right","NoStop",0,-0.38773707619398,-0.611983578940828
2,"23",357.2,"Right",1,1,0,100,"Right","NoStop",0,-0.139204652122452,-0.611983578940828
2,"24",1399.86,"NoGo",NA,1,0,100,"NoGo","Stop",1,3.20016154997059,-0.611983578940828
2,"25",247,"Right",1,0,1,150,"NoGo","Stop",1,-0.49214631620341,-0.173023450591161
2,"26",297.1,"Left",1,1,0,100,"Left","NoStop",0,-0.331689171280942,-0.611983578940828
2,"27",312.2,"Left",1,1,0,100,"Left","NoStop",0,-0.283327836184549,-0.611983578940828
2,"28",316.5,"Left",1,0,1,100,"NoGo","Stop",1,-0.26955606526306,-0.611983578940828
2,"29",399.1,"Right",1,1,0,50,"Right","NoStop",0,-0.0050099540735205,-1.05094370729049
2,"30",519.5,"Right",1,1,0,50,"Right","NoStop",0,0.380599631728181,-1.05094370729049
