"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","IntrusiveSum","SSRT"
2,1,0.1262,"Right",1,1,0,250,"Right","NoStop",14,261
2,2,0.1427,"Left",1,1,0,250,"Left","NoStop",14,261
2,3,0.1355,"Right",1,1,0,250,"Right","NoStop",14,261
2,4,0.1069,"Right",1,0,1,250,"NoGo","Stop",14,261
2,5,0.1586,"Right",1,1,0,200,"Right","NoStop",14,261
2,6,0.2382,"Left",1,1,0,200,"Left","NoStop",14,261
2,7,0.1462,"Right",1,1,0,200,"Right","NoStop",14,261
2,8,0.1873,"Left",1,1,0,200,"Left","NoStop",14,261
2,9,0.1926,"Right",1,1,0,200,"Right","NoStop",14,261
2,10,0.2214,"Right",1,0,1,200,"NoGo","Stop",14,261
2,11,0.2083,"Right",1,1,0,150,"Right","NoStop",14,261
2,12,0.2344,"Right",1,0,1,150,"NoGo","Stop",14,261
2,13,1.0536,"Right",1,0,1,100,"NoGo","Stop",14,261
2,14,0.3064,"Left",1,1,0,50,"Left","NoStop",14,261
2,15,0.3955,"Right",1,1,0,50,"Right","NoStop",14,261
2,16,1.449868,"NoGo",NA,1,0,50,"NoGo","Stop",14,261
2,17,0.3364,"Right",1,1,0,100,"Right","NoStop",14,261
2,18,0.2636,"Right",1,1,0,100,"Right","NoStop",14,261
2,19,0.4001,"Left",1,1,0,100,"Left","NoStop",14,261
2,20,0.3638,"Left",1,1,0,100,"Left","NoStop",14,261
2,21,0.3194,"Left",1,1,0,100,"Left","NoStop",14,261
2,22,0.2796,"Right",1,1,0,100,"Right","NoStop",14,261
2,23,0.3572,"Right",1,1,0,100,"Right","NoStop",14,261
2,24,1.39986,"NoGo",NA,1,0,100,"NoGo","Stop",14,261
2,25,0.247,"Right",1,0,1,150,"NoGo","Stop",14,261
2,26,0.2971,"Left",1,1,0,100,"Left","NoStop",14,261
2,27,0.3122,"Left",1,1,0,100,"Left","NoStop",14,261
2,28,0.3165,"Left",1,0,1,100,"NoGo","Stop",14,261
2,29,0.3991,"Right",1,1,0,50,"Right","NoStop",14,261
2,30,0.5195,"Right",1,1,0,50,"Right","NoStop",14,261
2,31,1.44995,"NoGo",NA,1,0,50,"NoGo","Stop",14,261
2,32,1.399901,"NoGo",NA,1,0,100,"NoGo","Stop",14,261
2,33,0.3693,"Left",1,1,0,150,"Left","NoStop",14,261
2,34,1.349854,"NoGo",NA,1,0,150,"NoGo","Stop",14,261
2,35,1.299808,"NoGo",NA,1,0,200,"NoGo","Stop",14,261
2,36,0.2508,"Right",1,1,0,250,"Right","NoStop",14,261
2,37,0.2015,"Left",1,1,0,250,"Left","NoStop",14,261
2,38,0.2563,"Right",1,1,0,250,"Right","NoStop",14,261
2,39,0.1723,"Left",1,1,0,250,"Left","NoStop",14,261
2,40,0.1894,"Left",1,1,0,250,"Left","NoStop",14,261
2,41,0.2504,"Right",1,1,0,250,"Right","NoStop",14,261
2,42,0.2042,"Right",1,1,0,250,"Right","NoStop",14,261
2,43,0.2254,"Left",1,0,1,250,"NoGo","Stop",14,261
2,44,0.4718,"Right",1,1,0,200,"Right","NoStop",14,261
2,45,1.299944,"NoGo",NA,1,0,200,"NoGo","Stop",14,261
2,46,0.19,"Right",1,1,0,250,"Right","NoStop",14,261
2,47,0.1997,"Right",1,1,0,250,"Right","NoStop",14,261
2,48,0.1435,"Right",1,0,1,250,"NoGo","Stop",14,261
2,49,0.352,"Right",1,1,0,200,"Right","NoStop",14,261
2,50,0.3118,"Right",1,1,0,200,"Right","NoStop",14,261
2,51,0.4196,"Left",1,1,0,200,"Left","NoStop",14,261
2,52,1.299865,"NoGo",NA,1,0,200,"NoGo","Stop",14,261
2,53,0.2011,"Right",1,1,0,250,"Right","NoStop",14,261
2,54,0.2112,"Left",1,1,0,250,"Left","NoStop",14,261
2,55,0.2844,"Right",1,1,0,250,"Right","NoStop",14,261
2,56,0.2216,"Left",1,1,0,250,"Left","NoStop",14,261
2,57,0.1863,"Left",1,0,1,250,"NoGo","Stop",14,261
2,58,0.2996,"Right",1,1,0,200,"Right","NoStop",14,261
2,59,0.3294,"Right",1,1,0,200,"Right","NoStop",14,261
2,60,0.4186,"Left",1,1,0,200,"Left","NoStop",14,261
2,61,1.299905,"NoGo",NA,1,0,200,"NoGo","Stop",14,261
2,62,0.1398,"Left",1,0,1,250,"NoGo","Stop",14,261
2,63,0.4715,"Right",1,1,0,200,"Right","NoStop",14,261
2,64,0.4672,"Right",1,1,0,200,"Right","NoStop",14,261
2,65,0.359,"Left",1,1,0,200,"Left","NoStop",14,261
2,66,0.3637,"Left",1,1,0,200,"Left","NoStop",14,261
2,67,0.2366,"Left",1,1,0,200,"Left","NoStop",14,261
2,68,0.4165,"Right",1,1,0,200,"Right","NoStop",14,261
2,69,1.300124,"NoGo",NA,1,0,200,"NoGo","Stop",14,261
2,70,0.2091,"Right",1,1,0,250,"Right","NoStop",14,261
2,71,1.249913,"NoGo",NA,1,0,250,"NoGo","Stop",14,261
2,72,0.2081,"Left",1,1,0,300,"Left","NoStop",14,261
2,73,0.3161,"Left",1,1,0,300,"Left","NoStop",14,261
2,74,0.1732,"Right",1,1,0,300,"Right","NoStop",14,261
2,75,0.2427,"Left",1,1,0,300,"Left","NoStop",14,261
2,76,0.2296,"Right",1,1,0,300,"Right","NoStop",14,261
2,77,0.1891,"Left",1,1,0,300,"Left","NoStop",14,261
2,78,0.5347,"Left",1,1,0,300,"Left","NoStop",14,261
2,79,0.2277,"Left",1,0,1,300,"NoGo","Stop",14,261
2,80,0.3279,"Left",1,1,0,250,"Left","NoStop",14,261
2,81,0.2271,"Left",1,1,0,250,"Left","NoStop",14,261
2,82,0.436,"Right",1,1,0,250,"Right","NoStop",14,261
2,83,0.2582,"Right",1,1,0,250,"Right","NoStop",14,261
2,84,0.2657,"Left",1,1,0,250,"Left","NoStop",14,261
2,85,0.2932,"Right",1,1,0,250,"Right","NoStop",14,261
2,86,0.2015,"Right",1,1,0,250,"Right","NoStop",14,261
2,87,0.1118,"Right",1,1,0,250,"Right","NoStop",14,261
2,88,1.249919,"NoGo",NA,1,0,250,"NoGo","Stop",14,261
2,89,0.1173,"Right",1,1,0,300,"Right","NoStop",14,261
2,90,0.248,"Left",1,1,0,300,"Left","NoStop",14,261
2,91,0.1801,"Left",1,1,0,300,"Left","NoStop",14,261
2,92,1.199824,"NoGo",NA,1,0,300,"NoGo","Stop",14,261
2,93,0.08740000001,"Right",1,0,1,350,"NoGo","Stop",14,261
2,94,0.3502,"Right",1,1,0,300,"Right","NoStop",14,261
2,95,0.2691,"Left",1,1,0,300,"Left","NoStop",14,261
2,96,0.2224,"Left",1,1,0,300,"Left","NoStop",14,261
2,97,0.1941,"Right",1,1,0,300,"Right","NoStop",14,261
2,98,0.2097,"Left",1,1,0,300,"Left","NoStop",14,261
2,99,0.3323,"Left",1,1,0,300,"Left","NoStop",14,261
2,100,0.1043,"Right",1,1,0,300,"Right","NoStop",14,261
2,101,0.1199,"Right",1,1,0,300,"Right","NoStop",14,261
2,102,0.1577,"Right",1,1,0,300,"Right","NoStop",14,261
2,103,1.199883,"NoGo",NA,1,0,300,"NoGo","Stop",14,261
2,104,0.03980000001,"Right",1,0,1,350,"NoGo","Stop",14,261
2,105,0.1396,"Right",1,1,0,300,"Right","NoStop",14,261
2,106,0.1271,"Right",1,0,1,300,"NoGo","Stop",14,261
2,107,0.217,"Left",1,1,0,250,"Left","NoStop",14,261
2,108,0.2292,"Right",1,1,0,250,"Right","NoStop",14,261
2,109,1.249831,"NoGo",NA,1,0,250,"NoGo","Stop",14,261
2,110,0.1278,"Left",1,1,0,300,"Left","NoStop",14,261
2,111,0.1996,"Left",1,1,0,300,"Left","NoStop",14,261
2,112,0.1846,"Right",1,1,0,300,"Right","NoStop",14,261
2,113,0.2197,"Right",1,1,0,300,"Right","NoStop",14,261
2,114,0.1467,"Right",1,1,0,300,"Right","NoStop",14,261
