"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task","ReflectionSum","BroodingSum","DepressiveSum","IntrusiveSum","DeliberateSum","ReappraisalSum","SuppressionSum","SSRT"
"2",1,126.2,"Right",1,1,0,250,"Right","NoStop",10,13,20,14,6,31,7,261
"2",2,142.7,"Left",1,1,0,250,"Left","NoStop",10,13,20,14,6,31,7,261
"2",3,135.5,"Right",1,1,0,250,"Right","NoStop",10,13,20,14,6,31,7,261
"2",4,106.9,"Right",1,0,1,250,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",5,158.6,"Right",1,1,0,200,"Right","NoStop",10,13,20,14,6,31,7,261
"2",6,238.2,"Left",1,1,0,200,"Left","NoStop",10,13,20,14,6,31,7,261
"2",7,146.2,"Right",1,1,0,200,"Right","NoStop",10,13,20,14,6,31,7,261
"2",8,187.3,"Left",1,1,0,200,"Left","NoStop",10,13,20,14,6,31,7,261
"2",9,192.6,"Right",1,1,0,200,"Right","NoStop",10,13,20,14,6,31,7,261
"2",10,221.4,"Right",1,0,1,200,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",11,208.3,"Right",1,1,0,150,"Right","NoStop",10,13,20,14,6,31,7,261
"2",12,234.4,"Right",1,0,1,150,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",13,1053.6,"Right",1,0,1,100,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",14,306.4,"Left",1,1,0,50,"Left","NoStop",10,13,20,14,6,31,7,261
"2",15,395.5,"Right",1,1,0,50,"Right","NoStop",10,13,20,14,6,31,7,261
"2",16,1449.868,"NoGo",NA,1,0,50,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",17,336.4,"Right",1,1,0,100,"Right","NoStop",10,13,20,14,6,31,7,261
"2",18,263.6,"Right",1,1,0,100,"Right","NoStop",10,13,20,14,6,31,7,261
"2",19,400.1,"Left",1,1,0,100,"Left","NoStop",10,13,20,14,6,31,7,261
"2",20,363.8,"Left",1,1,0,100,"Left","NoStop",10,13,20,14,6,31,7,261
"2",21,319.4,"Left",1,1,0,100,"Left","NoStop",10,13,20,14,6,31,7,261
"2",22,279.6,"Right",1,1,0,100,"Right","NoStop",10,13,20,14,6,31,7,261
"2",23,357.2,"Right",1,1,0,100,"Right","NoStop",10,13,20,14,6,31,7,261
"2",24,1399.86,"NoGo",NA,1,0,100,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",25,247,"Right",1,0,1,150,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",26,297.1,"Left",1,1,0,100,"Left","NoStop",10,13,20,14,6,31,7,261
"2",27,312.2,"Left",1,1,0,100,"Left","NoStop",10,13,20,14,6,31,7,261
"2",28,316.5,"Left",1,0,1,100,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",29,399.1,"Right",1,1,0,50,"Right","NoStop",10,13,20,14,6,31,7,261
"2",30,519.5,"Right",1,1,0,50,"Right","NoStop",10,13,20,14,6,31,7,261
"2",31,1449.95,"NoGo",NA,1,0,50,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",32,1399.901,"NoGo",NA,1,0,100,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",33,369.3,"Left",1,1,0,150,"Left","NoStop",10,13,20,14,6,31,7,261
"2",34,1349.854,"NoGo",NA,1,0,150,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",35,1299.808,"NoGo",NA,1,0,200,"NoGo","Stop",10,13,20,14,6,31,7,261
"2",36,250.8,"Right",1,1,0,250,"Right","NoStop",10,13,20,14,6,31,7,261
"2",37,201.5,"Left",1,1,0,250,"Left","NoStop",10,13,20,14,6,31,7,261
"2",38,256.3,"Right",1,1,0,250,"Right","NoStop",10,13,20,14,6,31,7,261
