Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,order-yfx5,Randomise questionnaire elements?,ERQ-1,ERQ-1-quantised,ERQ-2,ERQ-2-quantised,ERQ-3,ERQ-3-quantised,ERQ-4,ERQ-4-quantised,ERQ-5,ERQ-5-quantised,ERQ-6,ERQ-6-quantised,sanity-check-1,sanity-check-1-quantised,ERQ-7,ERQ-7-quantised,ERQ-8,ERQ-8-quantised,ERQ-9,ERQ-9-quantised,ERQ-10,ERQ-10-quantised,END QUESTIONNAIRE
1,1.66E+12,21/07/2022 6:10,1.66E+12,3,21/07/2022 9:10,87650,6,questionnaire-xu9o,,23219455,2,6799087,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.62,1707x960,1707x960,,ERQ,3,ABC,No,4,4,2,2,6,6,1,1,4,4,2,2,6,6,6,6,5,5,2,2,6,6,109692
1,1.66E+12,21/07/2022 7:37,1.66E+12,3,21/07/2022 10:37,87650,6,questionnaire-xu9o,,23220293,3,6799082,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.62,1280x720,638x591,,ERQ,3,BCA,No,6,6,2,2,6,6,1,1,6,6,1,1,6,6,5,5,3,3,1,1,6,6,89294
1,1.66E+12,21/07/2022 10:37,1.66E+12,3,21/07/2022 13:37,87650,6,questionnaire-xu9o,,23224413,4,6799084,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x754,,ERQ,3,CAB,No,5,5,4,4,5,5,2,2,5,5,3,3,6,6,5,5,5,5,3,3,5,5,121771
1,1.66E+12,22/07/2022 10:54,1.66E+12,3,22/07/2022 13:54,87650,6,questionnaire-xu9o,,23244282,16,6816242,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.49,1920x1080,1745x982,,ERQ,3,ABC,No,7,7,4,4,7,7,4,4,4,4,3,3,6,6,5,5,3,3,5,5,5,5,48251
1,1.66E+12,24/07/2022 16:30,1.66E+12,3,24/07/2022 19:30,87650,6,questionnaire-xu9o,,23269699,5,6799085,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1920x1080,1920x937,,ERQ,3,BCA,No,5,5,2,2,5,5,1,1,6,6,1,1,6,6,6,6,6,6,2,2,5,5,303911
1,1.66E+12,25/07/2022 6:07,1.66E+12,3,25/07/2022 9:07,87650,6,questionnaire-xu9o,,23274101,9,6801497,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1536x864,1536x864,,ERQ,3,CAB,No,2,2,3,3,5,5,1,1,5,5,1,1,6,6,2,2,1,1,3,3,2,2,78931
1,1.66E+12,25/07/2022 11:36,1.66E+12,3,25/07/2022 14:32,87650,6,questionnaire-xu9o,,23278148,13,6804798,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1366x768,1366x768,,ERQ,3,ABC,No,5,5,2,2,2,2,2,2,5,5,1,1,6,6,4,4,2,2,2,2,3,3,152471
1,1.66E+12,25/07/2022 13:04,1.66E+12,3,25/07/2022 16:04,87650,6,questionnaire-xu9o,,23279881,14,6830751,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1280x720,1280x577,,ERQ,3,CAB,No,4,4,2,2,6,6,4,4,2,2,2,2,6,6,2,2,1,1,1,1,5,5,95404
1,1.66E+12,25/07/2022 13:04,1.66E+12,3,25/07/2022 16:04,87650,6,questionnaire-xu9o,,23279888,39,6831893,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1920x1080,1920x969,,ERQ,3,BCA,No,6,6,5,5,5,5,2,2,6,6,4,4,6,6,6,6,6,6,7,7,6,6,56189
1,1.66E+12,26/07/2022 15:24,1.66E+12,3,26/07/2022 18:24,87650,6,questionnaire-xu9o,,23313946,7,6799083,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 103.0.1264.71,1536x864,1536x746,,ERQ,3,ABC,No,5,5,4,4,5,5,3,3,5,5,3,3,6,6,5,5,5,5,4,4,5,5,117476
1,1.66E+12,27/07/2022 9:11,1.66E+12,3,27/07/2022 12:11,87650,6,questionnaire-xu9o,,23325865,18,6813311,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x754,,ERQ,3,BCA,No,6,6,6,6,5,5,3,3,6,6,7,7,6,6,6,6,5,5,5,5,7,7,94194
1,1.66E+12,27/07/2022 10:36,1.66E+12,3,27/07/2022 13:36,87650,7,questionnaire-xu9o,,23328214,20,6816243,,complete,,,computer,Desktop or Laptop,Mac OS 10.11.6,Chrome 103.0.5060.114,1280x800,1280x721,,ERQ,3,ABC,No,3,3,4,4,3,3,6,6,3,3,4,4,6,6,3,3,3,3,4,4,3,3,71540
1,1.66E+12,27/07/2022 10:51,1.66E+12,3,27/07/2022 13:51,87650,7,questionnaire-xu9o,,23328591,23,6830213,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 103.0.0.0,1536x864,1536x746,,ERQ,3,BCA,No,4,4,2,2,3,3,4,4,6,6,1,1,6,6,5,5,5,5,1,1,5,5,83941
