"Schedule.ID","Participant.Public.ID","Trial.Number","Reaction.Time","Response","Attempt","Correct","Incorrect","ssd","display","ANSWER","Task"
23219489,2,"1",126.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"2",142.7,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"3",135.5,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"4",106.9,"Right",1,0,1,250,"craving","NoGo","Stop"
23219489,2,"5",158.6,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"6",238.2,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"7",146.2,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"8",187.3,"Left",1,1,0,200,"craving","Left","NoStop"
23219489,2,"9",192.6,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"10",221.4,"Right",1,0,1,200,"craving","NoGo","Stop"
23219489,2,"11",208.3,"Right",1,1,0,150,"craving","Right","NoStop"
23219489,2,"12",234.4,"Right",1,0,1,150,"craving","NoGo","Stop"
23219489,2,"13",1053.6,"Right",1,0,1,100,"craving","NoGo","Stop"
23219489,2,"14",306.4,"Left",1,1,0,50,"craving","Left","NoStop"
23219489,2,"15",395.5,"Right",1,1,0,50,"craving","Right","NoStop"
23219489,2,"16",1449.868,"NoGo",NA,1,0,50,"craving","NoGo","Stop"
23219489,2,"17",336.4,"Right",1,1,0,100,"craving","Right","NoStop"
23219489,2,"18",263.6,"Right",1,1,0,100,"craving","Right","NoStop"
23219489,2,"19",400.1,"Left",1,1,0,100,"craving","Left","NoStop"
23219489,2,"20",363.8,"Left",1,1,0,100,"craving","Left","NoStop"
23219489,2,"21",319.4,"Left",1,1,0,100,"craving","Left","NoStop"
23219489,2,"22",279.6,"Right",1,1,0,100,"craving","Right","NoStop"
23219489,2,"23",357.2,"Right",1,1,0,100,"craving","Right","NoStop"
23219489,2,"24",1399.86,"NoGo",NA,1,0,100,"craving","NoGo","Stop"
23219489,2,"25",247,"Right",1,0,1,150,"craving","NoGo","Stop"
23219489,2,"26",297.1,"Left",1,1,0,100,"craving","Left","NoStop"
23219489,2,"27",312.2,"Left",1,1,0,100,"craving","Left","NoStop"
23219489,2,"28",316.5,"Left",1,0,1,100,"craving","NoGo","Stop"
23219489,2,"29",399.1,"Right",1,1,0,50,"craving","Right","NoStop"
23219489,2,"30",519.5,"Right",1,1,0,50,"craving","Right","NoStop"
23219489,2,"31",1449.95,"NoGo",NA,1,0,50,"craving","NoGo","Stop"
23219489,2,"32",1399.901,"NoGo",NA,1,0,100,"craving","NoGo","Stop"
23219489,2,"33",369.3,"Left",1,1,0,150,"craving","Left","NoStop"
23219489,2,"34",1349.854,"NoGo",NA,1,0,150,"craving","NoGo","Stop"
23219489,2,"35",1299.808,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23219489,2,"36",250.8,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"37",201.5,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"38",256.3,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"39",172.3,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"40",189.4,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"41",250.4,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"42",204.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"43",225.4,"Left",1,0,1,250,"craving","NoGo","Stop"
23219489,2,"44",471.8,"Right",1,1,0,200,"craving","Right","NoStop"
23219489,2,"45",1299.944,"NoGo",NA,1,0,200,"craving","NoGo","Stop"
23219489,2,"46",190,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"47",199.7,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"48",143.5,"Right",1,0,1,250,"craving","NoGo","Stop"
23219489,2,"49",352,"Right",1,1,0,200,"craving","Right","NoStop"
